category_en,category_he,condition,relevant_families,source_deck,deck_topic,category_code,notes
Glaucoma,גלאוקומה,,Muscarinic Agonists (Direct); AChE Inhibitors – Intermediate,3,Parasympathetic/ANS,ANS,"Pilocarpine (topical), Physostigmine/Echothiophate (topical)"
Presbyopia,פרסביופיה (רוחק ראייה הקשור לגיל),,Muscarinic Agonists (Direct),3,Parasympathetic/ANS,ANS,Pilocarpine 1.25% (Vuity) — FDA 2021
Myasthenia Gravis,מיאסטניה גרביס,,AChE Inhibitors – Short/Intermediate,3,Parasympathetic/ANS,ANS,"Dx: Edrophonium; Tx: Pyridostigmine, Neostigmine, Ambenonium"
Alzheimer's Disease,מחלת אלצהיימר,,AChE Inhibitors – Alzheimer's,3,Parasympathetic/ANS,ANS,"Donepezil, Rivastigmine, Galantamine, Benzgalantamine (Zunveyl)"
Urinary Retention (nonobstructive),אצירת שתן (ללא חסימה),,Muscarinic Agonists (Direct),3,Parasympathetic/ANS,ANS,Bethanechol
Overactive Bladder (OAB),שלפוחית רגיזה,,Muscarinic Antagonists – OAB,3,Parasympathetic/ANS,ANS,"Oxybutynin, Tolterodine, Solifenacin, Darifenacin, Fesoterodine, Trospium"
COPD / Bronchospasm,COPD / ברונכוספזם,,Inhaled Muscarinic Antagonists (LAMAs),3,Parasympathetic/ANS,ANS,"Ipratropium (SAMA), Tiotropium, Aclidinium, Umeclidinium, Glycopyrronium, Revefenacin"
Parkinson's Disease,מחלת פרקינסון,,Muscarinic Antagonists – Parkinson's,3,Parasympathetic/ANS,ANS,"Benztropine, Trihexyphenidyl"
Motion Sickness / PONV,מחלת ים / בחילות אחרי ניתוח,,Non-selective Muscarinic Antagonists,3,Parasympathetic/ANS,ANS,Scopolamine
Bradycardia,ברדיקרדיה,,Non-selective Muscarinic Antagonists,3,Parasympathetic/ANS,ANS,Atropine
Organophosphate Poisoning,הרעלת אורגנופוספטים,,Organophosphate Antidote + Non-selective Musc. Antagonists,3,Parasympathetic/ANS,ANS,Pralidoxime + Atropine
Surgical Muscle Relaxation / Intubation,הרפיית שרירים / אינטובציה,,NMB – Competitive + Depolarizing,3,Parasympathetic/ANS,ANS,"Rocuronium, Vecuronium, Cisatracurium, Succinylcholine"
NMB Reversal,היפוך חסם עצבי-שרירי,,AChE Inhibitors + Selective Relaxant Binding Agent,3,Parasympathetic/ANS,ANS,Neostigmine+Atropine (traditional); Sugammadex (for rocuronium/vecuronium)
Primary Axillary Hyperhidrosis,הזעת יתר ראשונית,,Muscarinic Antagonists – Topical,3,Parasympathetic/ANS,ANS,"Glycopyrronium topical (Qbrexza 2018), Sofpironium (Sofdra 2024)"
Xerostomia / Dry Mouth,יובש בפה,,Muscarinic Agonists (Direct),3,Parasympathetic/ANS,ANS,Pilocarpine (oral); Cevimeline
GI / Bladder Atony,אטוניה של מעי/שלפוחית,,AChE Inhibitors – Intermediate,3,Parasympathetic/ANS,ANS,"Physostigmine, Neostigmine"
Anaphylaxis / Cardiac Arrest,אנפילקסיס / דום לב,,Non-selective α/β Agonists,4,Sympathetic/Adrenergic,ANS,Epinephrine (first-line)
Shock (Septic/Cardiogenic),הלם (ספטי/קרדיוגני),,β1-Agonists; Non-selective α/β,4,Sympathetic/Adrenergic,ANS,"Dobutamine, Dopamine, Norepinephrine"
Asthma (Acute),אסטמה (התקף חריף),,β2-Agonists – SABA,4,Sympathetic/Adrenergic,ANS,"Albuterol, Terbutaline"
Asthma/COPD (Maintenance),אסטמה/COPD (תחזוקה),,β2-Agonists – LABA/ULABA,4,Sympathetic/Adrenergic,ANS,"Salmeterol, Formoterol; Indacaterol, Olodaterol, Vilanterol (combos)"
Hypertension,יתר לחץ דם,,α2-Agonists; α1-Blockers; β-Blockers; α+β Blockers,4,Sympathetic/Adrenergic,ANS,"Clonidine, Methyldopa, Prazosin, Propranolol, Metoprolol, Labetalol, Carvedilol"
"Hypertension (Severe, IV)","יתר ל""ד חמור",,D1-Agonists,4,Sympathetic/Adrenergic,ANS,Fenoldopam (IV)
Hypertension in Pregnancy,"יתר ל""ד בהריון",,α2-Agonists; α+β Blockers,4,Sympathetic/Adrenergic,ANS,"Methyldopa, Labetalol"
BPH (Urinary Symptoms),BPH (תסמיני השתנה),,α1-Blockers (α1A-selective),4,Sympathetic/Adrenergic,ANS,"Tamsulosin, Silodosin, Alfuzosin; also Terazosin, Doxazosin"
Overactive Bladder (OAB),שלפוחית רגיזה,,β3-Agonists,4,Sympathetic/Adrenergic,ANS,Mirabegron; Vibegron (2020)
Pheochromocytoma,פאוכרומוציטומה,,Non-selective α-Blockers,4,Sympathetic/Adrenergic,ANS,"Phenoxybenzamine (preop), Phentolamine"
Nasal Congestion,גודש באף,,α1-Agonists,4,Sympathetic/Adrenergic,ANS,"Oxymetazoline, Phenylephrine (topical); Ephedrine, Pseudoephedrine"
Glaucoma,גלאוקומה,,β-Blockers (topical); α2-Agonists (topical),4,Sympathetic/Adrenergic,ANS,"Timolol, Betaxolol; Brimonidine, Apraclonidine"
Angina Pectoris,תעוקת חזה,,β1-Selective Blockers,4,Sympathetic/Adrenergic,ANS,"Atenolol, Metoprolol, Propranolol"
Heart Failure (Chronic),אי-ספיקת לב כרונית,,β1-Selective Blockers; α+β Blockers,4,Sympathetic/Adrenergic,ANS,"Metoprolol, Bisoprolol, Carvedilol"
Migraine Prophylaxis,מניעת מיגרנה,,Non-selective β-Blockers,4,Sympathetic/Adrenergic,ANS,Propranolol
ADHD / Narcolepsy,ADHD / נרקולפסיה,,Indirect Sympathomimetics,4,Sympathetic/Adrenergic,ANS,"Amphetamine, Methylphenidate"
NE Extravasation,דליפת NE חוץ-ורידית,,Non-selective α-Blockers,4,Sympathetic/Adrenergic,ANS,Phentolamine (local injection)
"Acute severe pain (trauma, postop)","כאב חריף חמור (טראומה, פוסט-ניתוחי)",,Strong µ-agonists; Biased µ-agonists; NaV1.8 inhibitors,5,Opioids,PAIN,Fentanyl/morphine IV; oliceridine for hospital use; suzetrigine as non-opioid alternative
Chronic cancer pain,כאב כרוני בסרטן,,Strong µ-agonists (all routes); Partial agonists,5,Opioids,PAIN,WHO pain ladder; morphine/oxycodone/fentanyl TD; methadone for refractory
Neuropathic pain,כאב נוירופתי,,Diphenylheptanes (methadone); Atypical opioids,5,Opioids,PAIN,Methadone S-isomer NMDA antagonism; tapentadol NRI component
Moderate pain,כאב בינוני,,Weak µ-agonists; Atypical opioids; Mixed agonist-antagonists,5,Opioids,PAIN,"Codeine, tramadol, tapentadol; pentazocine"
Opioid use disorder (OUD),התמכרות לאופיואידים,,Partial agonists; Antagonists; Diphenylheptanes,5,Opioids,PAIN,Buprenorphine (Suboxone) or methadone maintenance; naltrexone (Vivitrol) for relapse prevention
Alcohol use disorder (AUD),התמכרות לאלכוהול,,Antagonists,5,Opioids,PAIN,Naltrexone (ReVia/Vivitrol)
Opioid overdose,מנת יתר אופיואידים,,Opioid antagonists,5,Opioids,PAIN,Naloxone IV/nasal (Narcan); nalmefene nasal (Opvee); ICU monitoring needed — naloxone t½ < most opioids
Opioid-induced constipation (OIC),עצירות מושרית אופיואידים,,⭐ PAMORAs,5,Opioids,PAIN,"Methylnaltrexone, naloxegol, naldemedine; do not affect central analgesia"
Postoperative ileus,אילאוס פוסט-ניתוחי,,⭐ PAMORAs,5,Opioids,PAIN,Alvimopan (hospital-only)
CKD-associated pruritus,גרד הקשור למחלת כליות כרונית,,⭐ Peripheral κ-agonists,5,Opioids,PAIN,Difelikefalin (Korsuva) IV at end of hemodialysis
Diarrhea,שלשול,,Peripheral µ-agonists,5,Opioids,PAIN,Loperamide (OTC); diphenoxylate + atropine (Lomotil)
Cough suppression,דיכוי שיעול,,Opioid antitussives; Weak µ-agonists,5,Opioids,PAIN,Dextromethorphan (OTC); codeine
Anesthesia (adjunct/induction),הרדמה (עזר/אינדוקציה),,Phenylpiperidines,5,Opioids,PAIN,"Fentanyl, alfentanil, sufentanil, remifentanil"
Chemotherapy-induced nausea/vomiting,בחילות/הקאות מכימותרפיה,,Synthetic cannabinoids,5,Opioids,PAIN,Dronabinol (Marinol); nabilone (Cesamet)
Appetite stimulation (HIV/AIDS),עידוד תיאבון (HIV/AIDS),,Synthetic cannabinoids,5,Opioids,PAIN,Dronabinol
Labor analgesia,שיכוך כאב בלידה,,Strong µ-agonists,5,Opioids,PAIN,Meperidine (limited); fentanyl epidural; morphine
Pulmonary edema (acute),בצקת ריאות חריפה,,Strong µ-agonists,5,Opioids,PAIN,IV morphine — vasodilation ↓preload/afterload + anxiolysis
Pain (mild-moderate),כאב קל עד בינוני,,NSAIDs (all); Acetaminophen,6,NSAIDs/DMARDs/Migraine,PAIN,"First-line: ibuprofen, naproxen, acetaminophen"
Fever,חום,,NSAIDs; Acetaminophen,6,NSAIDs/DMARDs/Migraine,PAIN,Aspirin CI in children (Reye); acetaminophen safe in children + pregnancy
Inflammation (general),דלקת (כללית),,NSAIDs (high-dose),6,NSAIDs/DMARDs/Migraine,PAIN,COX-2 selective for GI-risk patients; acetaminophen has NO anti-inflammatory effect
Rheumatoid arthritis,דלקת מפרקים שיגדונית,,NSAIDs; DMARDs; TNF inhibitors; Other biologics; JAK inhibitors,6,NSAIDs/DMARDs/Migraine,PAIN,NSAID for symptoms; DMARDs for disease modification; biologics for refractory
